IDN: HEWLETT-PACKARD,34420A,0,9.0-5.0-2.0
 
Nr.     Date                   Data_on_Ch_1_[V]   Data_on_Ch_2_[V]   
87      2017-10-11 16:40:12    +3.70200000E+00    +3.67740000E+00    
88      2017-10-11 16:40:12    +3.71430000E+00    +3.68580000E+00    
89      2017-10-11 16:40:13    +3.67400000E+00    +3.63820000E+00    
90      2017-10-11 16:40:13    +3.65780000E+00    +3.63940000E+00    
91      2017-10-11 16:40:14    +3.68860000E+00    +3.66120000E+00    
92      2017-10-11 16:40:14    +3.65450000E+00    +3.61920000E+00    
93      2017-10-11 16:40:14    +3.62420000E+00    +3.59910000E+00    
94      2017-10-11 16:40:15    +3.67070000E+00    +3.63150000E+00    
95      2017-10-11 16:40:15    +3.64490000E+00    +3.59740000E+00    
96      2017-10-11 16:40:16    +3.60070000E+00    +3.57720000E+00    
97      2017-10-11 16:40:16    +3.63490000E+00    +3.61190000E+00    
98      2017-10-11 16:40:16    +3.62760000E+00    +3.58450000E+00    
99      2017-10-11 16:40:17    +3.57330000E+00    +3.54810000E+00    
100     2017-10-11 16:40:17    +3.59850000E+00    +3.57890000E+00    
101     2017-10-11 16:40:18    +3.60910000E+00    +3.56600000E+00    
102     2017-10-11 16:40:18    +3.55650000E+00    +3.53080000E+00    
103     2017-10-11 16:40:18    +3.57840000E+00    +3.56270000E+00    
104     2017-10-11 16:40:19    +3.59400000E+00    +3.56040000E+00    
105     2017-10-11 16:40:19    +3.54370000E+00    +3.51120000E+00    
106     2017-10-11 16:40:20    +3.54480000E+00    +3.52630000E+00    
107     2017-10-11 16:40:20    +3.57220000E+00    +3.54030000E+00    
108     2017-10-11 16:40:21    +3.51060000E+00    +3.48490000E+00    
109     2017-10-11 16:40:21    +3.51850000E+00    +3.50670000E+00    
110     2017-10-11 16:40:21    +3.55370000E+00    +3.52520000E+00    
111     2017-10-11 16:40:22    +3.50950000E+00    +3.47710000E+00    
112     2017-10-11 16:40:22    +3.49550000E+00    +3.47870000E+00    
113     2017-10-11 16:40:23    +3.53530000E+00    +3.50780000E+00    
114     2017-10-11 16:40:23    +3.48270000E+00    +3.45190000E+00    
115     2017-10-11 16:40:23    +3.47930000E+00    +3.46470000E+00    
116     2017-10-11 16:40:24    +3.51230000E+00    +3.48710000E+00    
117     2017-10-11 16:40:24    +3.45020000E+00    +3.42950000E+00    
118     2017-10-11 16:40:25    +3.50560000E+00    +3.47030000E+00    
119     2017-10-11 16:40:25    +3.43400000E+00    +3.43450000E+00    
120     2017-10-11 16:40:25    +3.42000000E+00    +3.42170000E+00    
121     2017-10-11 16:40:26    +3.45630000E+00    +3.44350000E+00    
122     2017-10-11 16:40:26    +3.41330000E+00    +3.39480000E+00    
123     2017-10-11 16:40:27    +3.43560000E+00    +3.39310000E+00    
124     2017-10-11 16:40:27    +3.43060000E+00    +3.40880000E+00    
125     2017-10-11 16:40:28    +3.39250000E+00    +3.39370000E+00    
126     2017-10-11 16:40:28    +3.37690000E+00    +3.36850000E+00    
127     2017-10-11 16:40:28    +3.43960000E+00    +3.41100000E+00    
128     2017-10-11 16:40:29    +3.42390000E+00    +3.38140000E+00    
129     2017-10-11 16:40:29    +3.37580000E+00    +3.34670000E+00    
130     2017-10-11 16:40:30    +3.43510000E+00    +3.38190000E+00    
131     2017-10-11 16:40:30    +3.40370000E+00    +3.35560000E+00    
132     2017-10-11 16:40:31    +3.35950000E+00    +3.33430000E+00    
